regime,metric,system,reference,system_successes,system_total,system_rate,reference_successes,reference_total,reference_rate,fisher_p_value,system_runs,reference_runs,fisher_unit,difference_rate,difference_ci_low,difference_ci_high,difference_confidence,difference_method,difference_strata,system_clusters,reference_clusters,equivalence_margin,equivalent_within_margin,equivalence_margin_preregistered
crashed,undetected_duplicate_rate,B0_NAIVE_RETRY,AEP_FULL,359,450,0.7977777777777778,0,540,0.0,1.152215442865763e-183,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,undetected_duplicate_rate,B1_LEASE_ONLY,AEP_FULL,367,450,0.8155555555555556,0,540,0.0,1.6425534430749812e-190,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,undetected_duplicate_rate,B2_CAS_ONLY,AEP_FULL,357,450,0.7933333333333333,0,540,0.0,5.387455600877813e-182,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,undetected_duplicate_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,undetected_duplicate_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,undetected_duplicate_rate,B4_DURABLE_WORKFLOW,AEP_FULL,302,540,0.5592592592592592,0,540,0.0,2.287859443186654e-117,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,known_ambiguity_rate,B0_NAIVE_RETRY,AEP_FULL,0,450,0.0,193,540,0.3574074074074074,1.2421729240403721e-59,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,known_ambiguity_rate,B1_LEASE_ONLY,AEP_FULL,0,450,0.0,193,540,0.3574074074074074,1.2421729240403721e-59,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,known_ambiguity_rate,B2_CAS_ONLY,AEP_FULL,0,450,0.0,193,540,0.3574074074074074,1.2421729240403721e-59,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,known_ambiguity_rate,B3_INTENT_NO_BARRIER,AEP_FULL,195,540,0.3611111111111111,193,540,0.3574074074074074,0.949435370026429,54,54,execution (cluster-unadjusted),0.003703703703703709,-0.011111111111111127,0.020370370370370372,0.9,stratified run-cluster percentile bootstrap,18,54,54,0.05,True,False
